tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
830,2017-12-21T12:24:04,2017-12-21T12:37:55,3168,Central Park West & W 85 St,40.78472675,-73.96961715,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17434,Subscriber,1947,male,
1987,2017-06-11T02:56:54,2017-06-11T03:30:01,406,Hicks St & Montague St,40.69512845,-73.99595065,406,Hicks St & Montague St,40.69512845,-73.99595065,26376,Subscriber,1923,male,
772,2018-01-29T09:47:06.722000,2018-01-29T09:59:59.591000,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,3068,Humboldt St & Varet St,40.7031724,-73.940636,20744,Subscriber,1997,male,
889,2017-06-09T16:01:42,2017-06-09T16:16:31,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,25413,Subscriber,1946,male,
637,2017-10-19T07:59:10,2017-10-19T08:09:47,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,24812,Subscriber,1951,male,
355,2017-09-08T07:53:06,2017-09-08T07:59:01,3458,W 55 St & 6 Ave,40.763093872707969,-73.9783501625061,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,26631,Subscriber,1952,male,
492,2017-10-30T21:19:50,2017-10-30T21:28:02,301,E 2 St & Avenue B,40.72217444,-73.98368779,280,E 10 St & 5 Ave,40.73331967,-73.99510132,29943,Subscriber,1997,male,
1046,2017-11-11T16:19:31,2017-11-11T16:36:58,3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,15078,Subscriber,2000,female,
209,2018-04-18T14:50:19.547000,2018-04-18T14:53:49.506000,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,285,Broadway & E 14 St,40.73454567,-73.99074142,28667,Subscriber,1999,male,
206,2017-08-30T19:39:58,2017-08-30T19:43:24,253,W 13 St & 5 Ave,40.73543934,-73.99453948,285,Broadway & E 14 St,40.73454567,-73.99074142,27937,Subscriber,1997,male,
261,2017-09-15T17:17:45,2017-09-15T17:22:07,507,E 25 St & 2 Ave,40.73912601,-73.97973776,2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,21521,Subscriber,1997,male,
669,2018-02-08T15:49:41.827000,2018-02-08T16:00:51.619000,383,Greenwich Ave & Charles St,40.735238,-74.000271,3474,6 Ave & Spring St,40.7252556952547,-74.004120826721191,33171,Subscriber,1952,female,
