usertype,station_name,latitude,longitude,num_rides,pct_rides
Subscriber,Pershing Square North,40.751873,-73.977706,307555,2.04
Subscriber,W 21 St & 6 Ave,40.74173969,-73.99415556,211533,1.4
Subscriber,Broadway & E 22 St,40.7403432,-73.98955109,209992,1.39
Subscriber,E 17 St & Broadway,40.73704984,-73.99009296,209359,1.39
Subscriber,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,178498,1.18
Subscriber,Broadway & E 14 St,40.73454567,-73.99074142,173635,1.15
Subscriber,West St & Chambers St,40.71754834,-74.01322069,171146,1.13
Subscriber,W 41 St & 8 Ave,40.75640548,-73.9900262,164026,1.09
Subscriber,8 Ave & W 33 St,40.751551,-73.993934,163495,1.08
Subscriber,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,156188,1.03
