usertype,the_hour,num_rides
Customer,0,17666
Customer,1,10911
Customer,2,6876
Customer,3,4285
Customer,4,3049
Customer,5,2466
Customer,6,5379
Customer,7,12742
Customer,8,29968
Customer,9,54118
Customer,10,88781
Customer,11,128446
Customer,12,153281
Customer,13,165078
Customer,14,173823
Customer,15,180259
Customer,16,178107
Customer,17,164886
Customer,18,138026
Customer,19,100989
Customer,20,68878
Customer,21,48055
Customer,22,37895
Customer,23,26978
Subscriber,0,138638
Subscriber,1,76153
Subscriber,2,42479
Subscriber,3,26136
Subscriber,4,25900
Subscriber,5,91745
Subscriber,6,338690
Subscriber,7,709589
Subscriber,8,1288872
Subscriber,9,1060450
Subscriber,10,672604
Subscriber,11,649460
Subscriber,12,753999
Subscriber,13,781611
Subscriber,14,802020
Subscriber,15,846446
Subscriber,16,1002463
Subscriber,17,1458067
Subscriber,18,1493752
Subscriber,19,1049480
Subscriber,20,702202
Subscriber,21,485066
Subscriber,22,359855
Subscriber,23,238249
